City,Date,AvgTemperature_C,AvgWindSpeed_m_s,AvgPrecipitation_mm,CO_ppm,NO2_ppb,O3_ppb,AQI,TrafficIndex
Phoenix,2024-01-01,10.68,7.67,0.0,0.0,6.0,10,17.0,59
Phoenix,2024-01-02,10.22,5.58,0.0,5.0,22.0,10,26.0,59
Phoenix,2024-01-03,10.02,8.99,0.0,0.0,20.0,19,31.0,59
Phoenix,2024-01-04,9.42,9.6,0.06,11.0,20.0,9,32.0,59
Phoenix,2024-01-05,7.69,5.95,0.0,3.0,19.0,10,21.0,59
Phoenix,2024-01-06,8.24,5.93,0.0,0.0,2.0,10,24.0,59
Phoenix,2024-01-07,7.39,13.17,0.08,0.0,19.0,10,32.0,56
Phoenix,2024-01-08,5.02,9.42,0.0,8.0,19.0,10,29.0,56
Phoenix,2024-01-09,4.8,6.15,0.0,3.0,18.0,10,20.0,56
Phoenix,2024-01-10,6.47,5.28,0.0,0.0,20.0,10,22.0,56
Phoenix,2024-01-11,7.32,16.46,0.05,23.0,18.0,11,35.0,56
Phoenix,2024-01-12,5.35,6.94,0.0,0.0,17.0,10,28.0,56
Phoenix,2024-01-13,6.97,4.4,0.0,0.0,17.0,10,24.0,56
Phoenix,2024-01-14,9.42,6.16,0.0,1.0,18.0,10,31.0,66
Phoenix,2024-01-15,10.51,5.68,0.0,0.0,17.0,10,27.0,66
Phoenix,2024-01-16,11.08,6.35,0.0,0.0,7.0,10,27.0,66
Phoenix,2024-01-17,11.83,6.67,0.0,0.0,17.0,10,19.0,66
Phoenix,2024-01-18,13.65,6.48,0.0,23.0,18.0,10,27.0,66
Phoenix,2024-01-19,15.14,7.65,0.0,0.0,7.0,9,20.0,66
Phoenix,2024-01-20,14.33,8.79,0.0,12.0,7.0,9,11.0,66
Phoenix,2024-01-21,12.6,5.77,0.19,7.0,18.0,10,17.0,63
Phoenix,2024-01-22,11.31,7.31,0.33,7.0,21.0,23,21.0,63
Phoenix,2024-01-23,12.32,10.36,1.14,11.0,7.0,9,25.0,63
Phoenix,2024-01-24,11.69,5.18,0.05,0.0,9.0,10,24.0,63
Phoenix,2024-01-25,11.62,7.48,0.0,5.0,18.0,11,26.0,63
Phoenix,2024-01-26,11.61,4.89,0.0,0.0,7.0,10,25.0,63
Phoenix,2024-01-27,12.65,7.54,0.0,8.0,7.0,10,31.0,63
Phoenix,2024-01-28,14.37,13.75,0.0,7.0,17.0,9,37.0,57
Phoenix,2024-01-29,14.97,10.3,0.0,2.0,12.0,10,31.0,57
Phoenix,2024-01-30,14.97,7.62,0.0,5.0,7.0,10,32.0,57
Phoenix,2024-01-31,16.05,8.98,0.0,0.0,7.0,10,33.0,57
Phoenix,2024-02-01,17.02,16.23,0.01,8.0,18.0,13,29.0,57
Phoenix,2024-02-02,12.75,14.83,0.92,0.0,18.0,11,40.0,57
Phoenix,2024-02-03,10.29,6.75,0.02,11.0,0.0,11,39.0,57
Phoenix,2024-02-04,11.27,8.63,0.0,8.0,17.0,10,38.0,61
Phoenix,2024-02-05,13.55,11.54,0.0,12.0,19.0,10,27.0,61
Phoenix,2024-02-06,14.1,13.69,0.25,10.0,7.0,17,31.0,61
Phoenix,2024-02-07,10.7,11.53,0.76,0.0,7.0,10,34.0,61
Phoenix,2024-02-08,9.31,15.67,0.12,4.0,11.0,10,35.0,61
Phoenix,2024-02-09,7.24,6.05,0.0,8.0,17.0,11,33.0,61
Phoenix,2024-02-10,8.4,6.97,0.27,0.0,17.0,9,39.0,61
Phoenix,2024-02-11,7.82,5.17,0.0,7.0,19.0,10,35.0,64
Phoenix,2024-02-12,8.72,6.77,0.0,11.0,18.0,10,31.0,64
Phoenix,2024-02-13,10.57,7.72,0.0,0.0,16.0,11,34.0,64
Phoenix,2024-02-14,11.37,5.39,0.0,0.0,7.0,11,37.0,64
Phoenix,2024-02-15,12.0,6.2,0.0,21.0,19.0,10,36.0,64
Phoenix,2024-02-16,12.75,6.3,0.0,0.0,9.0,11,39.0,64
Phoenix,2024-02-17,13.75,6.59,0.0,0.0,19.0,10,42.0,64
Phoenix,2024-02-18,14.45,6.33,0.02,7.0,19.0,10,45.0,57
Phoenix,2024-02-19,15.47,8.33,0.0,0.0,18.0,10,37.0,57
Phoenix,2024-02-20,16.29,6.31,0.0,0.0,9.0,10,34.0,57
Phoenix,2024-02-21,15.41,9.09,0.0,0.0,18.0,10,34.0,57
Phoenix,2024-02-22,15.48,5.62,0.0,7.0,0.0,11,39.0,57
Phoenix,2024-02-23,16.56,7.37,0.0,11.0,18.0,10,35.0,57
Phoenix,2024-02-24,17.49,6.26,0.0,7.0,7.0,10,35.0,57
Phoenix,2024-02-25,18.16,6.6,0.0,7.0,17.0,10,44.0,57
Phoenix,2024-02-26,18.67,11.96,0.0,0.0,10.0,10,25.0,57
Phoenix,2024-02-27,17.72,7.81,0.0,1.0,17.0,10,37.0,57
Phoenix,2024-02-28,16.61,12.11,0.0,0.0,20.0,11,38.0,57
Phoenix,2024-02-29,15.83,9.56,0.0,1.0,21.0,11,41.0,57
Phoenix,2024-03-01,16.91,9.14,0.0,0.0,6.0,11,39.0,57
Phoenix,2024-03-02,16.34,10.99,0.0,6.0,7.0,10,38.0,57
Phoenix,2024-03-03,16.77,12.49,0.0,8.0,19.0,11,38.0,61
Phoenix,2024-03-04,15.85,10.91,0.0,23.0,6.0,11,41.0,61
Phoenix,2024-03-05,15.98,6.66,0.0,0.0,6.0,10,43.0,61
Phoenix,2024-03-06,16.73,7.6,0.0,0.0,8.0,11,38.0,61
Phoenix,2024-03-07,13.49,8.46,0.24,0.0,8.0,11,31.0,61
Phoenix,2024-03-08,13.0,6.65,0.04,0.0,8.0,12,38.0,61
Phoenix,2024-03-09,14.47,9.43,0.0,0.0,18.0,10,38.0,61
Phoenix,2024-03-10,16.31,9.29,0.0,7.0,22.0,10,44.0,64
Phoenix,2024-03-11,17.67,9.61,0.0,0.0,18.0,11,43.0,64
Phoenix,2024-03-12,17.7,6.66,0.0,0.0,5.0,11,42.0,64
Phoenix,2024-03-13,17.16,11.45,0.0,0.0,17.0,11,42.0,64
Phoenix,2024-03-14,15.72,8.41,0.02,0.0,7.0,13,40.0,64
Phoenix,2024-03-15,12.6,9.16,0.44,22.0,21.0,8,32.0,64
Phoenix,2024-03-16,12.11,7.95,0.0,0.0,7.0,11,40.0,64
Phoenix,2024-03-17,13.11,6.42,0.02,18.0,18.0,11,42.0,63
Phoenix,2024-03-18,13.98,12.63,0.0,0.0,12.0,11,43.0,63
Phoenix,2024-03-19,15.78,7.45,0.0,0.0,7.0,11,45.0,63
Phoenix,2024-03-20,16.24,7.15,0.01,1.0,20.0,13,47.0,63
Phoenix,2024-03-21,18.08,9.24,0.0,0.0,7.0,11,50.0,63
Phoenix,2024-03-22,20.25,7.59,0.0,0.0,6.0,11,51.0,63
Phoenix,2024-03-23,20.26,10.95,0.0,10.0,7.0,12,42.0,63
Phoenix,2024-03-24,15.13,20.34,0.29,0.0,6.0,8,39.0,66
Phoenix,2024-03-25,13.33,11.95,0.0,0.0,0.0,11,39.0,66
Phoenix,2024-03-26,14.44,13.28,0.03,0.0,8.0,11,41.0,66
Phoenix,2024-03-27,15.34,8.86,0.0,1.0,7.0,11,45.0,66
Phoenix,2024-03-28,18.35,7.98,0.0,9.0,6.0,11,46.0,66
Phoenix,2024-03-29,20.05,10.5,0.0,10.0,6.0,11,42.0,66
Phoenix,2024-03-30,21.14,18.92,0.0,22.0,11.0,12,46.0,66
Phoenix,2024-03-31,14.11,13.07,0.41,0.0,19.0,8,39.0,57
Phoenix,2024-04-01,11.94,7.53,0.43,23.0,20.0,11,38.0,57
Phoenix,2024-04-02,13.98,7.08,0.0,0.0,6.0,11,41.0,57
Phoenix,2024-04-03,16.63,7.0,0.0,0.0,6.0,11,48.0,57
Phoenix,2024-04-04,18.59,10.85,0.0,6.0,12.0,10,49.0,57
Phoenix,2024-04-05,15.92,18.28,0.0,7.0,15.0,11,44.0,57
Phoenix,2024-04-06,12.55,11.5,0.0,10.0,21.0,10,44.0,57
Phoenix,2024-04-07,14.37,5.2,0.0,0.0,8.0,11,48.0,56
Phoenix,2024-04-08,16.85,7.17,0.0,0.0,23.0,12,48.0,56
Phoenix,2024-04-09,18.66,9.3,0.0,7.0,6.0,11,47.0,56
Phoenix,2024-04-10,20.79,7.7,0.0,0.0,6.0,11,48.0,56
Phoenix,2024-04-11,22.99,8.94,0.0,9.0,7.0,11,51.0,56
Phoenix,2024-04-12,24.4,14.16,0.0,7.0,5.0,11,51.0,56
Phoenix,2024-04-13,23.4,13.0,0.0,9.0,6.0,10,46.0,56
Phoenix,2024-04-14,21.2,11.65,0.0,0.0,0.0,8,48.0,64
Phoenix,2024-04-15,18.82,12.01,0.0,19.0,6.0,11,51.0,64
Phoenix,2024-04-16,21.09,7.09,0.0,0.0,6.0,11,64.0,64
Phoenix,2024-04-17,24.41,8.85,0.0,0.0,7.0,11,71.0,64
Phoenix,2024-04-18,24.95,8.17,0.0,0.0,6.0,11,71.0,64
Phoenix,2024-04-19,25.71,8.86,0.0,0.0,23.0,10,80.0,64
Phoenix,2024-04-20,26.7,8.48,0.0,23.0,6.0,11,80.0,64
Phoenix,2024-04-21,27.9,7.95,0.0,0.0,19.0,10,84.0,65
Phoenix,2024-04-22,28.56,10.59,0.0,8.0,6.0,11,80.0,65
Phoenix,2024-04-23,28.02,12.7,0.0,21.0,5.0,11,44.0,65
Phoenix,2024-04-24,26.23,11.89,0.0,0.0,4.0,11,45.0,65
Phoenix,2024-04-25,23.25,12.78,0.0,13.0,4.0,12,44.0,65
Phoenix,2024-04-26,22.12,17.71,0.0,10.0,7.0,14,45.0,65
Phoenix,2024-04-27,20.9,14.22,0.0,11.0,7.0,9,45.0,65
Phoenix,2024-04-28,22.96,7.39,0.0,0.0,7.0,11,47.0,60
Phoenix,2024-04-29,25.0,8.47,0.0,0.0,23.0,11,64.0,60
Phoenix,2024-04-30,26.83,9.7,0.0,23.0,7.0,11,64.0,60
Phoenix,2024-05-01,26.22,11.7,0.0,0.0,8.0,11,61.0,60
Phoenix,2024-05-02,26.16,8.06,0.0,0.0,6.0,11,74.0,60
Phoenix,2024-05-03,26.96,11.69,0.0,23.0,5.0,11,67.0,60
